Material ID,Formula,Transition Metal Group,Crystal System,Space Group,Total Magnetization (μB),Magnetization per Atom (µB/atom),Num Atoms,Is Stable,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
mp-1007922,CuI,Cu,Orthorhombic,Cmcm,0.0,0.0,4,False,29.0,53.0,24.0,41.0,12.0,29.0,64.0,96.0,32.0,80.0,16.0,64.0,63.546,126.90447,63.358470000000004,95.225235,31.679235000000002,63.546,386.85,1357.77,970.92,872.31,485.46,386.85,11.0,17.0,6.0,14.0,3.0,11.0,4.0,5.0,1.0,4.5,0.5,4.0,132.0,139.0,7.0,135.5,3.5,132.0,1.9,2.66,0.7600000000000002,2.2800000000000002,0.3800000000000001,1.9,1.0,2.0,1.0,1.5,0.5,1.0,0.0,5.0,5.0,2.5,2.5,0.0,10.0,10.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,17.0,6.0,14.0,3.0,11.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,11.07,43.015,31.945,27.0425,15.9725,11.07,0.0,1.062,1.062,0.531,0.531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,144.5,80.5,64.0
mp-1018138,VI2,V,Trigonal,P-3m1,2.9999995,0.9999998333333332,3,True,23.0,53.0,30.0,43.0,13.333333333333334,53.0,46.0,96.0,50.0,79.33333333333333,22.222222222222225,96.0,50.9415,126.90447,75.96297000000001,101.58348000000001,33.761320000000005,126.90447,386.85,2183.0,1796.15,985.5666666666666,798.2888888888889,386.85,5.0,17.0,12.0,13.0,5.333333333333333,17.0,4.0,5.0,1.0,4.666666666666667,0.44444444444444436,5.0,139.0,153.0,14.0,143.66666666666666,6.222222222222219,139.0,1.63,2.66,1.0300000000000002,2.316666666666667,0.45777777777777784,2.66,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,5.0,3.0,10.0,7.0,7.666666666666667,3.1111111111111107,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,17.0,12.0,13.0,5.333333333333333,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,7.0,7.0,2.3333333333333335,3.1111111111111107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,3.0,2.6666666666666665,1.0,13.01,43.015,30.005000000000003,33.013333333333335,13.335555555555556,43.015,0.0,1.062,1.062,0.7080000000000001,0.472,1.062,0.0,0.0,0.0,0.0,0.0,0.0,64.0,229.0,165.0,119.0,73.33333333333333,64.0
mp-1018888,PdCl2,Pd,Monoclinic,P2/m,0.0005673,9.455e-05,6,False,17.0,46.0,29.0,26.666666666666668,12.888888888888891,17.0,62.0,94.0,32.0,83.33333333333333,14.222222222222223,94.0,35.453,106.42,70.967,59.10866666666667,31.54088888888889,35.453,171.6,1828.05,1656.45,723.75,736.1999999999999,171.6,10.0,17.0,7.0,14.666666666666666,3.111111111111111,17.0,3.0,5.0,2.0,3.6666666666666665,0.8888888888888888,3.0,102.0,139.0,37.0,114.33333333333333,16.444444444444443,102.0,2.2,3.16,0.96,2.84,0.42666666666666675,3.16,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,5.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,8.0,1.3333333333333333,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,14.41,24.4975,10.087499999999999,21.135,4.483333333333332,24.4975,0.0,2.493,2.493,1.662,1.1079999999999999,2.493,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,117.66666666666667,71.55555555555556,64.0
mp-1018891,PdCl2,Pd,Monoclinic,P2_1/c,0.0,0.0,6,False,17.0,46.0,29.0,26.666666666666668,12.888888888888891,17.0,62.0,94.0,32.0,83.33333333333333,14.222222222222223,94.0,35.453,106.42,70.967,59.10866666666667,31.54088888888889,35.453,171.6,1828.05,1656.45,723.75,736.1999999999999,171.6,10.0,17.0,7.0,14.666666666666666,3.111111111111111,17.0,3.0,5.0,2.0,3.6666666666666665,0.8888888888888888,3.0,102.0,139.0,37.0,114.33333333333333,16.444444444444443,102.0,2.2,3.16,0.96,2.84,0.42666666666666675,3.16,0.0,2.0,2.0,1.3333333333333333,0.888888888888889,2.0,0.0,5.0,5.0,3.3333333333333335,2.222222222222222,5.0,0.0,10.0,10.0,3.3333333333333335,4.444444444444444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,8.0,1.3333333333333333,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.4444444444444445,1.0,14.41,24.4975,10.087499999999999,21.135,4.483333333333332,24.4975,0.0,2.493,2.493,1.662,1.1079999999999999,2.493,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,117.66666666666667,71.55555555555556,64.0
mp-1021674,NiCl,Ni,Cubic,Fm-3m,0.9999197,0.49995985,2,False,17.0,28.0,11.0,22.5,5.5,17.0,61.0,94.0,33.0,77.5,16.5,61.0,35.453,58.6934,23.240399999999994,47.0732,11.620199999999997,35.453,171.6,1728.0,1556.4,949.8,778.2,171.6,10.0,17.0,7.0,13.5,3.5,10.0,3.0,4.0,1.0,3.5,0.5,3.0,102.0,124.0,22.0,113.0,11.0,102.0,1.91,3.16,1.2500000000000002,2.535,0.6250000000000001,1.91,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.5,2.5,0.0,0.0,8.0,8.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,8.5,1.5,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.5,0.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.5,0.5,1.0,10.32,24.4975,14.177499999999998,17.408749999999998,7.088749999999999,10.32,0.0,2.493,2.493,1.2465,1.2465,0.0,0.0,0.5953947,0.5953947,0.29769735,0.29769735,0.0,64.0,225.0,161.0,144.5,80.5,64.0
mp-1022720,Ni6Cl7,Ni,Triclinic,P-1,13.9986357,0.5384090653846154,26,False,17.0,28.0,11.0,22.076923076923077,5.467455621301775,17.0,61.0,94.0,33.0,78.76923076923077,16.402366863905325,94.0,35.453,58.6934,23.240399999999994,46.179338461538464,11.55144142011834,35.453,171.6,1728.0,1556.4,889.9384615384616,773.5952662721894,171.6,10.0,17.0,7.0,13.76923076923077,3.479289940828402,17.0,3.0,4.0,1.0,3.4615384615384617,0.4970414201183432,3.0,102.0,124.0,22.0,112.15384615384616,10.934911242603551,102.0,1.91,3.16,1.2500000000000002,2.583076923076923,0.6213017751479291,3.16,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,2.6923076923076925,2.485207100591716,5.0,0.0,8.0,8.0,3.6923076923076925,3.9763313609467454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,10.0,3.0,8.384615384615385,1.4911242603550297,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5384615384615384,0.4970414201183432,1.0,0.0,2.0,2.0,0.9230769230769231,0.9940828402366864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.4615384615384615,0.4970414201183432,1.0,10.32,24.4975,14.177499999999998,17.95403846153846,7.04680473372781,24.4975,0.0,2.493,2.493,1.3423846153846155,1.2391242603550294,2.493,0.0,0.5953947,0.5953947,0.2747975538461539,0.29593582721893497,0.0,64.0,225.0,161.0,138.30769230769232,80.02366863905326,64.0
mp-1025168,RuF6,Ru,Cubic,Im-3m,2.0,0.2857142857142857,7,False,9.0,44.0,35.0,14.0,8.571428571428571,9.0,56.0,93.0,37.0,87.71428571428571,9.061224489795922,93.0,18.9984032,101.07,82.0715968,30.722917028571427,20.099166563265303,18.9984032,53.5,2607.0,2553.5,418.2857142857143,625.3469387755102,53.5,8.0,17.0,9.0,15.714285714285714,2.204081632653062,17.0,2.0,5.0,3.0,2.4285714285714284,0.7346938775510203,2.0,57.0,146.0,89.0,69.71428571428571,21.795918367346935,57.0,2.2,3.98,1.7799999999999998,3.7257142857142855,0.43591836734693884,3.98,1.0,2.0,1.0,1.8571428571428572,0.24489795918367344,2.0,0.0,5.0,5.0,4.285714285714286,1.2244897959183676,5.0,0.0,7.0,7.0,1.0,1.7142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,1.0,7.142857142857143,0.24489795918367374,7.0,0.0,1.0,1.0,0.14285714285714285,0.2448979591836735,0.0,0.0,1.0,1.0,0.8571428571428571,0.2448979591836735,1.0,0.0,3.0,3.0,0.42857142857142855,0.7346938775510203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.4285714285714286,0.7346938775510203,1.0,9.7075,13.51,3.8025,10.250714285714285,0.9312244897959179,9.7075,0.0,1.97,1.97,1.6885714285714286,0.4824489795918367,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.0,179.0,40.57142857142857,43.83673469387755,15.0
mp-1025250,RhF6,Rh,Cubic,Im-3m,3.0,0.4285714285714285,7,False,9.0,45.0,36.0,14.142857142857142,8.816326530612244,9.0,59.0,93.0,34.0,88.14285714285714,8.3265306122449,93.0,18.9984032,102.9055,83.9070968,30.985131314285713,20.54867676734694,18.9984032,53.5,2237.0,2183.5,365.42857142857144,534.734693877551,53.5,9.0,17.0,8.0,15.857142857142858,1.9591836734693875,17.0,2.0,5.0,3.0,2.4285714285714284,0.7346938775510203,2.0,57.0,142.0,85.0,69.14285714285714,20.81632653061224,57.0,2.28,3.98,1.7000000000000002,3.737142857142857,0.41632653061224495,3.98,1.0,2.0,1.0,1.8571428571428572,0.24489795918367344,2.0,0.0,5.0,5.0,4.285714285714286,1.2244897959183676,5.0,0.0,8.0,8.0,1.1428571428571428,1.959183673469388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,9.0,2.0,7.285714285714286,0.48979591836734687,7.0,0.0,1.0,1.0,0.14285714285714285,0.2448979591836735,0.0,0.0,1.0,1.0,0.8571428571428571,0.2448979591836735,1.0,0.0,2.0,2.0,0.2857142857142857,0.489795918367347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.2857142857142858,0.489795918367347,1.0,9.7075,13.64,3.932500000000001,10.269285714285713,0.9630612244897956,9.7075,0.0,1.97,1.97,1.6885714285714286,0.4824489795918367,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,225.0,210.0,45.0,51.42857142857143,15.0
mp-1025373,TcF6,Tc,Cubic,Im-3m,1.0,0.1428571428571428,7,False,9.0,43.0,34.0,13.857142857142858,8.326530612244898,9.0,53.0,93.0,40.0,87.28571428571429,9.795918367346934,93.0,18.9984032,98.0,79.0015968,30.284345599999998,19.34732982857143,18.9984032,53.5,2430.0,2376.5,393.0,582.0,53.5,7.0,17.0,10.0,15.571428571428571,2.448979591836735,17.0,2.0,5.0,3.0,2.4285714285714284,0.7346938775510203,2.0,57.0,147.0,90.0,69.85714285714286,22.040816326530614,57.0,1.9,3.98,2.08,3.6828571428571424,0.5093877551020412,3.98,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,4.285714285714286,1.2244897959183676,5.0,0.0,5.0,5.0,0.7142857142857143,1.2244897959183674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,0.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8571428571428571,0.2448979591836735,1.0,0.0,5.0,5.0,0.7142857142857143,1.2244897959183674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.5714285714285714,0.979591836734694,1.0,9.7075,14.285,4.577500000000001,10.361428571428572,1.1210204081632662,9.7075,0.0,1.97,1.97,1.6885714285714286,0.4824489795918367,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.0,179.0,40.57142857142857,43.83673469387755,15.0
mp-1025374,ReF6,Re,Cubic,Im-3m,1.0000001,0.1428571571428571,7,True,9.0,75.0,66.0,18.428571428571427,16.163265306122447,9.0,54.0,93.0,39.0,87.42857142857143,9.551020408163264,93.0,18.9984032,186.207,167.2085968,42.8853456,40.94904411428571,18.9984032,53.5,3459.0,3405.5,540.0,834.0,53.5,7.0,17.0,10.0,15.571428571428571,2.448979591836735,17.0,2.0,6.0,4.0,2.5714285714285716,0.979591836734694,2.0,57.0,151.0,94.0,70.42857142857143,23.02040816326531,57.0,1.9,3.98,2.08,3.6828571428571424,0.5093877551020412,3.98,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,4.285714285714286,1.2244897959183676,5.0,0.0,5.0,5.0,0.7142857142857143,1.2244897959183674,0.0,0.0,14.0,14.0,2.0,3.4285714285714284,0.0,7.0,21.0,14.0,9.0,3.4285714285714284,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8571428571428571,0.2448979591836735,1.0,0.0,5.0,5.0,0.7142857142857143,1.2244897959183674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,4.0,1.5714285714285714,0.979591836734694,1.0,9.7075,14.655,4.9475,10.414285714285713,1.2116326530612238,9.7075,0.0,1.97,1.97,1.6885714285714286,0.4824489795918367,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,194.0,179.0,40.57142857142857,43.83673469387755,15.0
mp-1025442,IrI3,Ir,Monoclinic,C2/m,0.0,0.0,8,True,53.0,77.0,24.0,59.0,9.0,53.0,60.0,96.0,36.0,87.0,13.5,96.0,126.90447,192.217,65.31253000000001,143.2326025,24.492198750000007,126.90447,386.85,2739.0,2352.15,974.8875,882.0562500000001,386.85,9.0,17.0,8.0,15.0,3.0,17.0,5.0,6.0,1.0,5.25,0.375,5.0,139.0,141.0,2.0,139.5,0.75,139.0,2.2,2.66,0.45999999999999996,2.545,0.1725000000000001,2.66,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.75,1.875,5.0,7.0,10.0,3.0,9.25,1.125,10.0,0.0,14.0,14.0,3.5,5.25,0.0,17.0,23.0,6.0,18.5,2.25,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,3.0,3.0,0.75,1.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,1.5,0.75,1.0,14.21,43.015,28.805,35.813750000000006,10.801874999999997,43.015,0.0,1.062,1.062,0.7965,0.39825000000000005,1.062,0.0,0.0,0.0,0.0,0.0,0.0,64.0,225.0,161.0,104.25,60.375,64.0
mp-1041606,CrF5,Cr,Orthorhombic,Cmcm,5.5770306,0.46475255,12,False,9.0,24.0,15.0,11.5,4.166666666666667,9.0,49.0,93.0,44.0,85.66666666666667,12.22222222222222,93.0,18.9984032,51.9961,32.9976968,24.498019333333332,9.166026888888888,18.9984032,53.5,2180.0,2126.5,407.9166666666667,590.6944444444445,53.5,6.0,17.0,11.0,15.166666666666666,3.055555555555556,17.0,2.0,4.0,2.0,2.3333333333333335,0.5555555555555557,2.0,57.0,139.0,82.0,70.66666666666667,22.777777777777782,57.0,1.66,3.98,2.3200000000000003,3.5933333333333333,0.6444444444444445,3.98,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,2.0,0.0,5.0,5.0,4.166666666666667,1.3888888888888886,5.0,0.0,5.0,5.0,0.8333333333333334,1.388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,6.833333333333333,0.27777777777777796,7.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777773,0.0,0.0,1.0,1.0,0.8333333333333334,0.27777777777777773,1.0,0.0,5.0,5.0,0.8333333333333334,1.388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,1.8333333333333333,1.3888888888888886,1.0,9.7075,11.19,1.4825,9.954583333333332,0.4118055555555549,9.7075,0.0,1.97,1.97,1.6416666666666666,0.5472222222222222,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,229.0,214.0,50.666666666666664,59.444444444444436,15.0
mp-1047356,TaF5,Ta,Orthorhombic,Cmcm,0.0023515,0.0001959583333333,12,False,9.0,73.0,64.0,19.666666666666668,17.77777777777778,9.0,48.0,93.0,45.0,85.5,12.5,93.0,18.9984032,180.94788,161.9494768,45.98998266666666,44.98596577777778,18.9984032,53.5,3290.0,3236.5,592.9166666666666,899.0277777777777,53.5,5.0,17.0,12.0,15.0,3.3333333333333335,17.0,2.0,6.0,4.0,2.6666666666666665,1.111111111111111,2.0,57.0,170.0,113.0,75.83333333333333,31.388888888888886,57.0,1.5,3.98,2.48,3.5666666666666664,0.6888888888888891,3.98,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,4.166666666666667,1.3888888888888886,5.0,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,0.0,14.0,14.0,2.3333333333333335,3.8888888888888893,0.0,7.0,19.0,12.0,9.0,3.3333333333333335,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8333333333333334,0.27777777777777773,1.0,0.0,7.0,7.0,1.1666666666666667,1.9444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.0,1.6666666666666667,1.0,9.7075,18.12,8.412500000000001,11.109583333333333,2.336805555555556,9.7075,0.0,1.97,1.97,1.6416666666666666,0.5472222222222222,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,229.0,214.0,50.666666666666664,59.444444444444436,15.0
mp-1047607,MoF5,Mo,Orthorhombic,Cmcm,2.003097,0.1669247499999999,12,False,9.0,42.0,33.0,14.5,9.166666666666666,9.0,50.0,93.0,43.0,85.83333333333333,11.944444444444448,93.0,18.9984032,95.96,76.9615968,31.825335999999997,21.37822133333333,18.9984032,53.5,2896.0,2842.5,527.25,789.5833333333334,53.5,6.0,17.0,11.0,15.166666666666666,3.055555555555556,17.0,2.0,5.0,3.0,2.5,0.8333333333333334,2.0,57.0,154.0,97.0,73.16666666666667,26.944444444444446,57.0,2.16,3.98,1.8199999999999998,3.6766666666666663,0.5055555555555558,3.98,1.0,2.0,1.0,1.8333333333333333,0.27777777777777785,2.0,0.0,5.0,5.0,4.166666666666667,1.3888888888888886,5.0,0.0,5.0,5.0,0.8333333333333334,1.388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,1.0,6.833333333333333,0.27777777777777796,7.0,0.0,1.0,1.0,0.16666666666666666,0.27777777777777773,0.0,0.0,1.0,1.0,0.8333333333333334,0.27777777777777773,1.0,0.0,5.0,5.0,0.8333333333333334,1.388888888888889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,1.8333333333333333,1.3888888888888886,1.0,9.7075,15.69,5.9825,10.704583333333332,1.6618055555555549,9.7075,0.0,1.97,1.97,1.6416666666666666,0.5472222222222222,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,229.0,214.0,50.666666666666664,59.444444444444436,15.0
mp-1047615,WF5,W,Orthorhombic,Cmcm,2.000516,0.1667096666666666,12,False,9.0,74.0,65.0,19.833333333333332,18.055555555555554,9.0,51.0,93.0,42.0,86.0,11.666666666666666,93.0,18.9984032,183.84,164.8415968,46.47200266666667,45.78933244444445,18.9984032,53.5,3695.0,3641.5,660.4166666666666,1011.5277777777777,53.5,6.0,17.0,11.0,15.166666666666666,3.055555555555556,17.0,2.0,6.0,4.0,2.6666666666666665,1.111111111111111,2.0,57.0,162.0,105.0,74.5,29.166666666666668,57.0,2.36,3.98,1.62,3.7099999999999995,0.45000000000000034,3.98,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,4.166666666666667,1.3888888888888886,5.0,0.0,4.0,4.0,0.6666666666666666,1.111111111111111,0.0,0.0,14.0,14.0,2.3333333333333335,3.8888888888888893,0.0,7.0,20.0,13.0,9.166666666666666,3.6111111111111107,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8333333333333334,0.27777777777777773,1.0,0.0,6.0,6.0,1.0,1.6666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,1.8333333333333333,1.3888888888888886,1.0,9.7075,16.05,6.342500000000001,10.764583333333333,1.7618055555555554,9.7075,0.0,1.97,1.97,1.6416666666666666,0.5472222222222222,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,229.0,214.0,50.666666666666664,59.444444444444436,15.0
mp-1047795,VF5,V,Orthorhombic,Cmcm,3.7668161,0.3139013416666666,12,False,9.0,23.0,14.0,11.333333333333334,3.8888888888888893,9.0,46.0,93.0,47.0,85.16666666666667,13.055555555555552,93.0,18.9984032,50.9415,31.9430968,24.322252666666667,8.873082444444446,18.9984032,53.5,2183.0,2129.5,408.4166666666667,591.5277777777778,53.5,5.0,17.0,12.0,15.0,3.3333333333333335,17.0,2.0,4.0,2.0,2.3333333333333335,0.5555555555555557,2.0,57.0,153.0,96.0,73.0,26.666666666666668,57.0,1.63,3.98,2.35,3.588333333333333,0.652777777777778,3.98,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,4.166666666666667,1.3888888888888886,5.0,0.0,3.0,3.0,0.5,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,2.0,6.666666666666667,0.5555555555555554,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.8333333333333334,0.27777777777777773,1.0,0.0,7.0,7.0,1.1666666666666667,1.9444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,6.0,2.0,1.6666666666666667,1.0,9.7075,13.01,3.3025,10.257916666666665,0.9173611111111102,9.7075,0.0,1.97,1.97,1.6416666666666666,0.5472222222222222,1.97,0.0,0.0,0.0,0.0,0.0,0.0,15.0,229.0,214.0,50.666666666666664,59.444444444444436,15.0
mp-1049060,FeCl3,Fe,Triclinic,P1,10.0000003,1.2500000375,8,True,17.0,26.0,9.0,19.25,3.375,17.0,55.0,94.0,39.0,84.25,14.625,94.0,35.453,55.845,20.391999999999996,40.551,7.6469999999999985,35.453,171.6,1811.0,1639.4,581.45,614.7750000000001,171.6,8.0,17.0,9.0,14.75,3.375,17.0,3.0,4.0,1.0,3.25,0.375,3.0,102.0,132.0,30.0,109.5,11.25,102.0,1.83,3.16,1.33,2.8275,0.49875,3.16,2.0,2.0,0.0,2.0,0.0,2.0,0.0,5.0,5.0,3.75,1.875,5.0,0.0,6.0,6.0,1.5,2.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,1.0,7.25,0.375,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.375,1.0,0.0,4.0,4.0,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,3.0,1.75,1.125,1.0,10.73,24.4975,13.767499999999998,21.055625,5.162812499999999,24.4975,0.0,2.493,2.493,1.8697499999999998,0.934875,2.493,0.0,2.1106628,2.1106628,0.5276657,0.79149855,0.0,64.0,229.0,165.0,105.25,61.875,64.0
